StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,prolific,Q104,superstition,Q106,religious,Q108,superlative,Q110,political,exi_1,avl_1,inv_1,avd_1,mot_1,vul_1,surprise_1,att.surprise,sen_1,att.evi,jus_1,att.jus,bet_1,voluntarism_1,double_1,really_1,consider_1,predict_1,context_1,age,gen,race,thought,text
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you voluntarily consent to participate in this study?,Please enter your unique prolific ID below.,"Does a superstitious thought ever come to mind?


These are some examples of superstitious thoughts:

	“If I open an umbrella indoors, I will have bad luck”
	“If I eat 8 chips, I will have good luck”",Please write the thought here.,"Does a religious thought ever come to mind? 



These are some examples of religious thoughts:

	“Bad people go to hell”
	“There is a higher power”",Please write the thought here.,"Does a thought about someone you know being the best or worst in some meaningful way come to mind?



These are some examples of thoughts people might have about someone in their life being the best or worst:

	“My wife is most beautiful woman in the world”
	“My boss is the absolute worst”",Please write the thought here.,"Does a politically extreme thought ever come to mind? By politically extreme, we do not mean necessarily violent or socially unacceptable. They are just thoughts that are extremely unlikely to be even entertained by someone who is a political moderate or part of the political establishment.



These are some examples of politically extreme thoughts:

	“We should completely abolish the police and prison systems”
	“Feudalism is the best political system”",Please write the thought here.,"Is ""[Field-text]"" the sort of thought/belief for which there is nothing that could count as evidence for or against it? - ~","How available is the evidence that could bear on the thought/belief that ""[Field-text]""? - ~","Is there a process of investigation -- simple or complex -- that could tell us whether the thought/belief that ""[Field-text]"" is true? - ~","How do you approach counterevidence for the thought/belief that ""[Field-text]""? - ~","To what extent is your confidence in the thought/belief ""[Field-text]"" determined by how much evidence/arguments support it? - ~","How hesitant would you be to give up your thought/belief that ""[Field-text]"" if you encountered evidence or arguments that totally undermined it? - ~","How surprised would you be if ""[Field-text]"" turned out to be wrong? - ~",Please select 3 from the options below.,"Could consideration of evidence (or arguments) drive someone to give up the thought/belief that ""[Field-text]""? - ~",The previous question asked you to consider whether the belief you offered was sensitive to evidence.,"Would it be possible to develop reasons in favor of the thought/belief ""[Field-text]""? - ~",The previous question asked you to consider whether you could make arguments about in favor of the thought/belief.,"Would you be willing to bet on ""[Field-text]"" being true? - ~","To what extent is whether you believe ""[Field-text]"" under your control? In other words, can you decide whether you believe ""[Field-text]""? - ~","At this very moment in time, does it feel like part of you thinks the opposite of ""[Field-text]"". In other words, does part of you feel like ""[Field-text]"" is not true? - ~","Do you really believe that ""[Field-text]""? - ~","To be completely honest, before this experiment how often have you ever seriously considered whether ""[Field-text]"" is true? - ~","Would you use the ""[Field-text]"" to predict any future events? - ~","As you go about your daily life, are there sometimes when you might think ""[Field-text]"" is true and others times when you wouldn’t? Or would you always say ""[Field-text]"" is true? - ~",Please give your age below (in years),Which option best aligns with your gender identity?,What is your race?,thought,text
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID104""}","{""ImportId"":""QID128_TEXT""}","{""ImportId"":""QID106""}","{""ImportId"":""QID129_TEXT""}","{""ImportId"":""QID108""}","{""ImportId"":""QID130_TEXT""}","{""ImportId"":""QID110""}","{""ImportId"":""QID131_TEXT""}","{""ImportId"":""QID86_1""}","{""ImportId"":""QID101_1""}","{""ImportId"":""QID92_1""}","{""ImportId"":""QID99_1""}","{""ImportId"":""QID84_1""}","{""ImportId"":""QID94_1""}","{""ImportId"":""QID113_1""}","{""ImportId"":""QID43""}","{""ImportId"":""QID90_1""}","{""ImportId"":""QID42""}","{""ImportId"":""QID96_1""}","{""ImportId"":""QID41""}","{""ImportId"":""QID115_1""}","{""ImportId"":""QID116_1""}","{""ImportId"":""QID117_1""}","{""ImportId"":""QID118_1""}","{""ImportId"":""QID119_1""}","{""ImportId"":""QID120_1""}","{""ImportId"":""QID121_1""}","{""ImportId"":""QID1717414298_TEXT""}","{""ImportId"":""QID1717414299""}","{""ImportId"":""QID1717414300""}","{""ImportId"":""thought""}","{""ImportId"":""text""}"
2025-12-17 16:17:16,2025-12-17 16:17:31,0,24.218.118.27,100,15,1,2025-12-17 16:17:31,R_7xKnBhK8gAUxdIh,,,,,41.3186,-72.9302,anonymous,EN,1,a,5,,5,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,0,
2025-12-17 16:14:20,2025-12-17 16:14:37,0,24.218.118.27,21,16,0,2025-12-24 16:14:42,R_6KvU6sFn3xgiNTm,,,,,41.3186,-72.9302,anonymous,EN,1,test,5,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,"If a superstitious thought has come to mind, please write it here."
2025-12-17 16:15:51,2025-12-17 16:16:08,0,24.218.118.27,21,16,0,2025-12-24 16:16:24,R_6YgDcWk46JTXn7b,,,,,41.3186,-72.9302,anonymous,EN,1,test,5,,,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,1,"If a superstitious thought has come to mind, please write it here."
2025-12-17 16:16:58,2025-12-17 16:17:06,0,24.218.118.27,21,8,0,2025-12-24 16:17:12,R_7mQrQ3qeyU0SWZk,,,,,41.3186,-72.9302,anonymous,EN,1,test,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,"If a superstitious thought has come to mind, please write it here."
2025-12-17 16:17:34,2025-12-17 16:17:59,0,24.218.118.27,22,24,0,2025-12-24 16:18:02,R_5BeRAOIaEvV77Bx,,,,,41.3186,-72.9302,anonymous,EN,1,a,,,4,"God is good all the time. All the time, God is good.",,,,,,,,,,,,,,,,,,,,,,,,,,,1,"God is good all the time. All the time, God is good."
2025-12-17 16:18:04,2025-12-17 16:19:04,0,24.218.118.27,24,60,0,2025-12-24 16:19:06,R_1v8HQkv3cpHQ3mB,,,,,41.3186,-72.9302,anonymous,EN,1,a,,,5,,,,4,Communism might work quite a bit better than capitalism,,,,,,,,,,,,,,,61,,,,,,,,1,Communism might work quite a bit better than capitalism
2025-12-17 16:19:25,2025-12-17 16:20:21,0,24.218.118.27,25,55,0,2025-12-24 16:20:21,R_5arOXhDalx4dSA9,,,,,41.3186,-72.9302,anonymous,EN,1,a,,,,,4,My dog was cuter than any do I've ever seen in my whole life.,5,,,,,,,,,,,,,,,,,,,,,,,,1,My dog was cuter than any do I've ever seen in my whole life.
2025-12-17 16:20:28,2025-12-17 16:22:16,0,24.218.118.27,27,108,0,2025-12-24 16:22:17,R_7HYX5xZH0rULyWx,,,,,41.3186,-72.9302,anonymous,EN,1,a,4,"I must not do 13 reps -- I can do 12 or 14, but not exactly 13",5,,5,,,,,,,,,,,,,,,,,,,,21,,,,,,1,"I must not do 13 reps -- I can do 12 or 14, but not exactly 13"
