Submission id,pid,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status,Authenticity check: QID128,Authenticity check: QID129,Authenticity check: QID130,Authenticity check: QID131,Authenticity check: QID1717414298,Authenticity check: QID7
6991e872fc5106f4290ded12,62d43cee3d60ac98c1dcacc8,APPROVED,Not Applicable,2026-02-15T15:38:31.085000Z,2026-02-15T15:46:04.404000Z,2026-02-15T18:44:01.399000Z,2026-02-15T15:46:04.845412Z,454,CPSEFESE,11738,28,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED,N/A,N/A,Pass,N/A,Pass,N/A
6991e87c7bc3dafdac41f675,6704539fe462b87182866f14,APPROVED,Not Applicable,2026-02-15T15:38:41.609000Z,2026-02-15T15:46:05.760000Z,2026-02-15T18:44:01.660000Z,2026-02-15T15:46:06.222878Z,445,CPSEFESE,5174,43,Male,White,Spain,United Kingdom,United Kingdom,English,Yes,Full-Time,N/A,N/A,Pass,N/A,Pass,N/A
6991e87e991c30606ca920b9,698d1c5be0f666bf894e5a80,APPROVED,Not Applicable,2026-02-15T15:38:42.164000Z,2026-02-15T15:41:50.577000Z,2026-02-15T18:44:01.916000Z,2026-02-15T15:41:51.037174Z,189,CPSEFESE,27,24,Male,Mixed,United States,United States,United States,English,No,Full-Time,N/A,N/A,N/A,Pass,Pass,N/A
6991e87f957467548c54fbbf,5dbf5fe16849043f135aa2c0,APPROVED,Not Applicable,2026-02-15T15:38:44.488000Z,2026-02-15T15:41:16.253000Z,2026-02-15T18:44:02.806000Z,2026-02-15T15:41:16.716804Z,152,CPSEFESE,5391,37,Male,White,United States,United Kingdom,United States,English,No,Full-Time,N/A,N/A,N/A,Pass,Pass,N/A
6991e8821462d9057825338e,69454de0266e20b4d6f6fbd9,APPROVED,Not Applicable,2026-02-15T15:41:00.316000Z,2026-02-15T15:46:34.890000Z,2026-02-15T18:44:03.196000Z,2026-02-15T15:46:35.268435Z,335,CPSEFESE,1171,51,Male,White,United States,United States,United States,English,No,Other,N/A,N/A,Pass,N/A,Pass,N/A
6991e8836e2a21e598f4ab0b,5e3d57c40d3a26000edff2e1,APPROVED,Not Applicable,2026-02-15T15:38:47.798000Z,2026-02-15T15:42:46.261000Z,2026-02-15T18:44:03.502000Z,2026-02-15T15:42:46.639713Z,239,CPSEFESE,2637,25,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time,N/A,N/A,Pass,N/A,Pass,N/A
6991e884792a3c8d154fdb0e,696c14c4c7de2d012b0911cb,APPROVED,Not Applicable,2026-02-15T15:46:01.109000Z,2026-02-15T15:55:00.840000Z,2026-02-15T18:44:03.788000Z,2026-02-15T15:55:01.349330Z,540,CPSEFESE,361,26,Male,White,Poland,United Kingdom,Poland,Polish,No,Other,Pass,N/A,N/A,N/A,Pass,N/A
6991e8857e1bb1a4cfc0b558,629dd4199343d7710fcdb39c,APPROVED,Not Applicable,2026-02-15T15:40:56.148000Z,2026-02-15T15:48:08.605000Z,2026-02-15T18:44:04.053000Z,2026-02-15T15:48:09.010481Z,433,CPSEFESE,1771,33,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Unemployed (and job seeking),N/A,Pass,N/A,N/A,Pass,N/A
6991e887e134732ab00bc60b,68c9a88016a72793ea49ad8c,APPROVED,Not Applicable,2026-02-15T15:38:50.875000Z,2026-02-15T15:45:33.912000Z,2026-02-15T18:44:04.340000Z,2026-02-15T15:45:34.336464Z,404,CPSEFESE,965,45,Male,White,Italy,United Kingdom,Italy,Italian,No,Full-Time,N/A,N/A,N/A,Pass,Pass,N/A
6991e88b14af378506b42bce,65e6238e5774c7e869f5defd,APPROVED,Not Applicable,2026-02-15T15:38:54.200000Z,2026-02-15T15:44:04.522000Z,2026-02-15T18:44:04.612000Z,2026-02-15T15:44:04.911851Z,311,CPSEFESE,1049,20,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,Yes,Unemployed (and job seeking),Pass,N/A,N/A,N/A,Pass,N/A
6991e88cfbc4ef7839b926b2,696014bfd6c35394d6e3cf79,APPROVED,Not Applicable,2026-02-15T15:38:57.672000Z,2026-02-15T15:43:21.474000Z,2026-02-15T18:44:04.875000Z,2026-02-15T15:43:21.872507Z,264,CPSEFESE,519,47,Male,White,United States,United States,United States,English,No,Full-Time,N/A,Pass,N/A,N/A,Pass,N/A
6991f9fced7710e5b679b822,62b35b7ceadb050497fbbe58,APPROVED,Not Applicable,2026-02-15T16:53:19.902000Z,2026-02-15T16:55:42.720000Z,2026-02-15T18:42:43.749000Z,2026-02-15T16:55:43.136610Z,143,CPSEFESE,1708,32,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,N/A,Pass,N/A,N/A,Pass,N/A
6991f9fd064dcdcf6769fd30,5b17642244127b00013f7f65,APPROVED,Not Applicable,2026-02-15T16:53:23.194000Z,2026-02-15T17:09:18.572000Z,2026-02-15T18:42:44.042000Z,2026-02-15T17:09:18.969654Z,956,CPSEFESE,3781,40,Female,Black,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,N/A,N/A,N/A,Pass,N/A,N/A
6991fa00ad0a4183cd8b427e,6007421356226920359b5f3e,APPROVED,Not Applicable,2026-02-15T16:53:24.412000Z,2026-02-15T17:00:41.194000Z,2026-02-15T18:44:05.123000Z,2026-02-15T17:00:41.838606Z,437,CPSEFESE,6171,34,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,N/A,N/A,N/A,Pass,Pass,N/A
6991fa01c377628acc0b8bba,670fecf28d7e7a242a0d8d7b,APPROVED,Not Applicable,2026-02-15T16:53:26.151000Z,2026-02-15T16:59:07.410000Z,2026-02-15T18:42:44.330000Z,2026-02-15T16:59:07.842303Z,342,CPSEFESE,2131,48,Female,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,N/A,Pass,N/A
6991fa0455ad7ff95e1c416f,575aee8152c3fe00091a6252,APPROVED,Not Applicable,2026-02-15T16:53:42.880000Z,2026-02-15T16:56:57.527000Z,2026-02-15T18:44:05.370000Z,2026-02-15T16:56:57.900071Z,195,CPSEFESE,6731,37,Male,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,N/A,Pass,N/A
6991fa048434f2c020406b31,6664f7c85d3674a27eea24b7,APPROVED,Not Applicable,2026-02-15T16:53:28.588000Z,2026-02-15T16:55:36.806000Z,2026-02-15T18:42:44.646000Z,2026-02-15T16:55:37.247188Z,129,CPSEFESE,3091,35,Female,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,N/A,N/A,N/A,N/A
6991fa05693c276f0bce129d,6266b0409582f553a3e10d9a,APPROVED,Not Applicable,2026-02-15T16:53:29.264000Z,2026-02-15T16:58:19.853000Z,2026-02-15T18:44:05.616000Z,2026-02-15T16:58:20.260917Z,291,CPSEFESE,4774,56,Male,White,Zimbabwe,United Kingdom,United Kingdom,English,No,Full-Time,Pass,N/A,N/A,N/A,N/A,N/A
6991fa06530b520e39121c0d,6606d4f4acdc3a6b8200c0ee,APPROVED,Not Applicable,2026-02-15T16:53:31.315000Z,2026-02-15T16:56:22.474000Z,2026-02-15T18:44:05.952000Z,2026-02-15T16:56:22.875972Z,172,CPSEFESE,2191,58,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,N/A,Pass,N/A,N/A,Pass,N/A
6991fa06b0958922b336a791,5b4a3ab1bc06c90001f902f4,APPROVED,Not Applicable,2026-02-15T16:53:32.710000Z,2026-02-15T16:57:42.245000Z,2026-02-15T18:42:44.892000Z,2026-02-15T16:57:42.671938Z,250,CPSEFESE,4289,42,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,N/A,N/A,Pass,N/A,Pass,N/A
6991fa06ed7710e5b679b825,5f5e32a0d6a12c6857b8e127,APPROVED,Not Applicable,2026-02-15T16:53:31.562000Z,2026-02-15T16:58:52.877000Z,2026-02-15T18:44:06.241000Z,2026-02-15T16:58:53.254813Z,322,CPSEFESE,11219,29,Male,White,United States,United States,United States,English,Yes,Full-Time,Pass,N/A,N/A,N/A,Pass,N/A
6991fa0727268d06b51b0109,666c7bc0c79c2f2b53f89cbf,APPROVED,Not Applicable,2026-02-15T16:53:31.940000Z,2026-02-15T16:54:36.307000Z,2026-02-15T18:42:45.135000Z,2026-02-15T16:54:37.686796Z,65,CPSEFESE,1126,57,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,N/A,N/A,N/A,N/A,N/A,N/A
6991fa074f02e37c78b4df7b,6316149abe5544fbe1ebd250,APPROVED,Not Applicable,2026-02-15T16:53:33.622000Z,2026-02-15T17:00:23.750000Z,2026-02-15T18:44:06.498000Z,2026-02-15T17:00:24.176271Z,411,CPSEFESE,309,35,Male,Black,United States,United States,United States,English,Yes,DATA_EXPIRED,N/A,N/A,N/A,Pass,Pass,N/A
6991fa0894f88e54b896137b,6978c3c421215e1d9b95db3d,APPROVED,Not Applicable,2026-02-15T16:53:34.042000Z,2026-02-15T17:01:52.860000Z,2026-02-15T18:42:45.388000Z,2026-02-15T17:01:53.329201Z,499,CPSEFESE,160,29,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time,N/A,N/A,Pass,N/A,Pass,N/A
6991fa09adc17c5828d6dd3c,6941786f9acdcc0131d758a9,APPROVED,Not Applicable,2026-02-15T16:54:22.978000Z,2026-02-15T16:58:53.963000Z,2026-02-15T18:42:45.628000Z,2026-02-15T16:58:54.407265Z,271,CPSEFESE,1342,29,Female,Mixed,United States,United States,United States,English,No,Full-Time,N/A,N/A,Pass,N/A,Pass,N/A
6991fa09f09ebd9bfcc92923,63d95f053f0c6988bd100683,APPROVED,Not Applicable,2026-02-15T16:53:42.462000Z,2026-02-15T16:59:36.188000Z,2026-02-15T18:44:06.733000Z,2026-02-15T16:59:36.583876Z,354,CPSEFESE,924,25,Male,White,United States,United States,United States,English,Yes,Unemployed (and job seeking),Pass,N/A,N/A,N/A,Pass,N/A
6991fa0a10993457bc1f07e6,698f84553a42023267b6e1ca,APPROVED,Not Applicable,2026-02-15T16:53:34.087000Z,2026-02-15T16:55:07.584000Z,2026-02-15T18:44:06.971000Z,2026-02-15T16:55:08.010169Z,94,CPSEFESE,30,37,Male,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,N/A,Pass,Pass,N/A
6991fa0bf2b846294d9cd330,5d2f46f4c30834001aeb5abc,APPROVED,Not Applicable,2026-02-15T16:53:35.154000Z,2026-02-15T16:56:40.015000Z,2026-02-15T18:44:07.253000Z,2026-02-15T16:56:40.383641Z,185,CPSEFESE,2917,42,Male,White,United States,United States,United States,English,No,DATA_EXPIRED,N/A,Pass,N/A,N/A,Pass,N/A
6991fa0dbc9ace3dc5af67cf,695bf39c0568ba2156eee261,APPROVED,Not Applicable,2026-02-15T16:53:40.158000Z,2026-02-15T16:56:24.715000Z,2026-02-15T18:42:45.866000Z,2026-02-15T16:56:25.137868Z,165,CPSEFESE,283,31,Female,White,United States,United States,United States,English,No,Full-Time,N/A,N/A,N/A,Pass,Pass,N/A
6991fa0efbbe56366bc67de6,5641c95d17bdbe00102a0b51,APPROVED,Not Applicable,2026-02-15T16:53:38.653000Z,2026-02-15T16:55:51.137000Z,2026-02-15T18:42:46.161000Z,2026-02-15T16:55:51.514240Z,133,CPSEFESE,3658,61,Female,White,United States,United Kingdom,United Kingdom,English,No,DATA_EXPIRED,N/A,Pass,N/A,N/A,N/A,N/A
6991fa0f910037173002f7ab,5e2872fffcdb020467d12799,APPROVED,Not Applicable,2026-02-15T16:53:41.708000Z,2026-02-15T16:57:15.345000Z,2026-02-15T18:44:07.522000Z,2026-02-15T16:57:15.748830Z,214,CPSEFESE,5010,79,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)",N/A,N/A,N/A,Pass,N/A,N/A
6991fa10b8dc723c1a363a29,58effc65c31d4d00015aa5b9,APPROVED,Not Applicable,2026-02-15T16:53:40.258000Z,2026-02-15T17:03:17.147000Z,2026-02-15T18:42:46.495000Z,2026-02-15T17:03:17.666549Z,577,CPSEFESE,7253,51,Female,White,United States,United States,United States,English,No,Full-Time,N/A,Pass,N/A,N/A,N/A,N/A
6991fa1270eeaba620ec2baf,601478ee2d7cc94b1f1855ec,APPROVED,Not Applicable,2026-02-15T16:54:25.212000Z,2026-02-15T17:00:53.667000Z,2026-02-15T18:44:07.777000Z,2026-02-15T17:00:54.074863Z,389,CPSEFESE,6782,48,Male,White,United States,United States,United States,English,Yes,DATA_EXPIRED,N/A,N/A,N/A,Pass,Pass,N/A
