StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,consent,prolific,Q136,geography,Q106,religious,Q134,number,Q110,political,Q138,maybe,mot_1,surprise_1,att.surprise,jus_1,att.jus,bet_1,double_1,consider_1,predict_1,context_1,Q146_1,att.sense,dishonest_1,Q150_1,serious_1,Q149_1,single_1,really_1,deeper_1,age,gen,race,PROLIFIC_PID,thought,text,FL_95_DO,FL_42_DO,FL_136_DO,FL_150_DO,FL_151_DO
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you voluntarily consent to participate in this study?,"What is your Prolific ID?
Please note that this response should auto-fill with the correct ID.","Does a thought about geography ever come to mind?



These are some examples of thoughts about geography:

	“New York City is the Capital of New York State”
	“China borders the Pacific Ocean”",Please write the thought here.,"Does a religious thought ever come to mind? 



These are some examples of religious thoughts:

	“Bad people go to hell”
	“There is a higher power”",Please write the thought here.,"Does a thought about the number of things there are ever come to mind?


These are some examples of thoughts about the number of things:

	“My cousin has three children”
	“There are over a thousand stars in the sky”",Please write the thought here.,"Does a politically extreme thought ever come to mind? By politically extreme, we do not mean necessarily violent or socially unacceptable. They are just thoughts that are extremely unlikely to be even entertained by someone who is a political moderate or part of the political establishment.



These are some examples of politically extreme thoughts:

	“We should completely abolish the police and prison systems”
	“Feudalism is the best political system”",Please write the thought here.,"Has a random piece of trivia ever come to mind? It might be something you're very sure about, not sure about, or something in between.



These are some examples of random pieces of trivia:

	“Bats are not blind”
	“Microsoft is the most popular laptop operating system”",Please write the thought here.,"To what extent is your confidence in the thought ""[Field-text]"" determined by how much evidence/arguments support it? - ~","How surprised would you be if ""[Field-text]"" turned out to be wrong? - ~",Please select 3 from the options below.,"Would it be possible to develop reasons in favor of the thought ""[Field-text]""? - ~",The previous question asked you to consider whether you could make reasons in favor of the thought.,"Would you be willing to bet on ""[Field-text]"" being true? - ~","At this very moment in time, does it feel like part of you thinks the opposite of ""[Field-text]"". In other words, does part of you feel like ""[Field-text]"" is not true? - ~","To be completely honest, before this survey how often have you ever seriously considered whether ""[Field-text]"" is true? - ~","Would you use the thought ""[Field-text]"" to predict any future events? - ~","As you go about your daily life, are there specific times and circumstances when you might think ""[Field-text]"" is true and others specific times and circumstances when you wouldn’t? Or would you always say ""[Field-text]"" is true? - ~","Agree or disagree:

There is no sense in which it would be right to say that ""I believe that [Field-text]."" - ~","Fill in the blank:

You were just asked to evaluate your agreement with the statement, ""There is ____ sense in which it would be right to say that ""I believe that [Field-text].""","How dishonest would it be for you to say ""I believe that [Field-text]."" - ~","""I believe that [Field-text].""

If you said that, would you be saying something dishonest? - ~","If someone asked you if you seriously, actually believed ""[Field-text]"", would you say no? - ~","If someone asked you if you seriously believed ""[Field-text]"" would you say no? - ~","Is there any part of you that affirms ""[Field-text]""? - ~","Do you really believe that ""[Field-text]""? - ~","In some sense you may or may not believe that ""[Field-text]"". But in a deeper sense, do you actually believe that ""[Field-text]""? - ~",Please give your age below (in years),Which option best aligns with your gender identity?,What is your race?,PROLIFIC_PID,thought,text,FL_95 - Block Randomizer - Display Order,FL_42 - Block Randomizer - Display Order,FL_136 - Block Randomizer - Display Order,FL_150 - Block Randomizer - Display Order,FL_151 - Block Randomizer - Display Order
"{""ImportId"":""startDate"",""timeZone"":""America/Denver""}","{""ImportId"":""endDate"",""timeZone"":""America/Denver""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Denver""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID136""}","{""ImportId"":""QID137_TEXT""}","{""ImportId"":""QID106""}","{""ImportId"":""QID129_TEXT""}","{""ImportId"":""QID134""}","{""ImportId"":""QID135_TEXT""}","{""ImportId"":""QID110""}","{""ImportId"":""QID131_TEXT""}","{""ImportId"":""QID138""}","{""ImportId"":""QID139_TEXT""}","{""ImportId"":""QID84_1""}","{""ImportId"":""QID113_1""}","{""ImportId"":""QID43""}","{""ImportId"":""QID96_1""}","{""ImportId"":""QID41""}","{""ImportId"":""QID115_1""}","{""ImportId"":""QID117_1""}","{""ImportId"":""QID119_1""}","{""ImportId"":""QID120_1""}","{""ImportId"":""QID121_1""}","{""ImportId"":""QID146_1""}","{""ImportId"":""QID147""}","{""ImportId"":""QID145_1""}","{""ImportId"":""QID150_1""}","{""ImportId"":""QID142_1""}","{""ImportId"":""QID149_1""}","{""ImportId"":""QID144_1""}","{""ImportId"":""QID118_1""}","{""ImportId"":""QID141_1""}","{""ImportId"":""QID1717414298_TEXT""}","{""ImportId"":""QID1717414299""}","{""ImportId"":""QID1717414300""}","{""ImportId"":""PROLIFIC_PID""}","{""ImportId"":""thought""}","{""ImportId"":""text""}","{""ImportId"":""FL_95_DO""}","{""ImportId"":""FL_42_DO""}","{""ImportId"":""FL_136_DO""}","{""ImportId"":""FL_150_DO""}","{""ImportId"":""FL_151_DO""}"
2026-03-12 15:11:59,2026-03-12 15:15:46,1,,100,227,1,2026-03-12 15:15:47,R_1RI79wOxud5nW6Z,,,,,41.3571,-72.9334,preview,EN,1,a,5,,5,,4,I have one phone.,5,,,,100,100,3,100,1,100,0,0,0,0,0,1,0,,100,,100,100,100,56,3,3,,1,I have one phone.,FL_99|FL_103|FL_98|FL_101|FL_137,Considered|Double-bookkeeping|Betting|Beliefbecauseofevidence|FL_78|Prediction|FL_80|Context-sensitivity,FL_143|Deepersense|BL_9GG3oka3T4rx74q|BL_3mDuwLeMDsV7LKu|Reallybelieve|Singlebookkeeping,,
2026-03-21 10:13:49,2026-03-21 10:17:06,0,24.218.118.27,100,196,1,2026-03-21 10:17:06,R_7KfPi62SSiV1paj,,,,,41.3571,-72.9334,anonymous,EN,1,{{%PROLIFIC_PID%}},5,,4,God is Nature.,,,,,,,86,23,3,88,1,56,86,86,39,82,24,2,87,,7,,100,28,15,,,,{{%PROLIFIC_PID%}},1,God is Nature.,FL_98|FL_99|FL_103|FL_137|FL_101,FL_80|Context-sensitivity|Betting|Considered|Prediction|Double-bookkeeping|FL_78|Beliefbecauseofevidence,Singlebookkeeping|BL_9GG3oka3T4rx74q|Deepersense|Reallybelieve|BL_3mDuwLeMDsV7LKu|FL_143,,
2026-03-23 14:56:13,2026-03-23 14:58:19,0,128.36.7.245,100,125,1,2026-03-23 14:58:19,R_5mtkngI5LiAczG3,,,,,41.3186,-72.9302,anonymous,EN,1,a,,,5,,4,There are 8 boys,,,,,100,100,3,100,1,100,0,0,91,0,0,1,0,,,0,100,100,100,56,2,6,,1,There are 8 boys,FL_99|FL_101|FL_103|FL_137|FL_98,Context-sensitivity|Double-bookkeeping|Prediction|Betting|FL_80|FL_78|Considered|Beliefbecauseofevidence,FL_151|FL_143|Singlebookkeeping|Deepersense|FL_150|Reallybelieve,Dishonest,Serious2
2026-03-23 15:31:14,2026-03-23 15:32:04,0,92.41.158.89,100,49,1,2026-03-23 15:32:04,R_8MIwK98rgkYClMd,,,,,51.5291,0.0527,anonymous,EN,1,5eca46c6c1e2c601290bab15,5,,5,,5,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,5eca46c6c1e2c601290bab15,0,,FL_99|FL_103|FL_101|FL_98|FL_137,,,,
2026-03-23 15:32:09,2026-03-23 15:33:02,0,174.57.221.118,100,53,1,2026-03-23 15:33:03,R_5TouMKy2yY2QSGv,,,,,39.0826,-74.8238,anonymous,EN,1,6998abd731d2ec50d067d5bd,5,,5,,5,,5,,5,,,,,,,,,,,,,,,,,,,,,,,,6998abd731d2ec50d067d5bd,0,,FL_103|FL_98|FL_99|FL_101|FL_137,,,,
2026-03-23 15:31:16,2026-03-23 15:33:30,0,70.22.195.107,100,134,1,2026-03-23 15:33:31,R_3ezzAunK2JqjG16,,,,,42.2518,-71.0805,anonymous,EN,1,6978bda2039ef7c2454998b0,,,4,When I die I hope there is a heaven. If there is my dad wont be happy with my mom for how she treats me.,,,5,,,,21,,,75,2,86,,,,,,,,,,,,,,,,,6978bda2039ef7c2454998b0,1,When I die I hope there is a heaven. If there is my dad wont be happy with my mom for how she treats me.,FL_103|FL_99|FL_98|FL_137|FL_101,Betting|Beliefbecauseofevidence|FL_78|Context-sensitivity|Considered|Prediction|FL_80|Double-bookkeeping,,,
2026-03-23 15:31:07,2026-03-23 15:33:40,0,76.88.21.127,100,153,1,2026-03-23 15:33:40,R_3KoJ9BXW74hEF08,,,,,33.1602,-117.325,anonymous,EN,1,699a2189c3a62af43ad41469,,,,,4,My uncle has several kids he doesn't take care of,,,,,80,86,3,9,1,100,17,71,68,0,15,3,,,,,,,,,,,699a2189c3a62af43ad41469,1,My uncle has several kids he doesn't take care of,FL_101|FL_103|FL_99|FL_137|FL_98,Prediction|FL_78|Context-sensitivity|Considered|Double-bookkeeping|FL_80|Betting|Beliefbecauseofevidence,FL_143|Reallybelieve|Singlebookkeeping|FL_150|FL_151|Deepersense,,
2026-03-23 15:31:22,2026-03-23 15:33:41,0,97.242.39.148,100,139,1,2026-03-23 15:33:42,R_6Rn3FY5phu2n9Zv,,,,,41.85,-87.7165,anonymous,EN,1,69ac4bf9d451d5d2987069ac,,,,,4,There are at least a few other people in the world who look just like me,,,,,31,100,3,100,2,100,0,82,0,,,,,,,,,,,,,,69ac4bf9d451d5d2987069ac,1,There are at least a few other people in the world who look just like me,FL_101|FL_99|FL_103|FL_98|FL_137,Betting|FL_80|Beliefbecauseofevidence|Prediction|Considered|Double-bookkeeping|FL_78|Context-sensitivity,,,
2026-03-23 15:32:00,2026-03-23 15:34:34,0,81.152.171.45,100,153,1,2026-03-23 15:34:34,R_83v8T9ZXVrW97nH,,,,,51.2111,-2.6526,anonymous,EN,1,6888f9158ab561d6bbcf7466,,,,,4,When did I get 4 cats?,,,,,100,100,3,100,1,100,0,100,75,0,0,3,,,100,,,,,,,,6888f9158ab561d6bbcf7466,1,When did I get 4 cats?,FL_101|FL_99|FL_103|FL_137|FL_98,FL_80|Prediction|Betting|Beliefbecauseofevidence|FL_78|Context-sensitivity|Double-bookkeeping|Considered,FL_151|FL_143|Deepersense|Singlebookkeeping|FL_150|Reallybelieve,,Serious
2026-03-23 15:31:29,2026-03-23 15:34:40,0,73.173.26.136,100,191,1,2026-03-23 15:34:40,R_3Ed6SsNSYGfXs9R,,,,,38.93,-77.35,anonymous,EN,1,698e0d9f19f5cb49958407b4,,,,,4,I had the thought of how many people there are in the world.,,,,,14,81,3,77,1,77,21,83,8,20,10,1,5,,,0,85,87,85,25,1,2,698e0d9f19f5cb49958407b4,1,I had the thought of how many people there are in the world.,FL_101|FL_137|FL_103|FL_98|FL_99,Context-sensitivity|Beliefbecauseofevidence|Considered|FL_80|Betting|Double-bookkeeping|Prediction|FL_78,Deepersense|Reallybelieve|FL_151|FL_150|Singlebookkeeping|FL_143,Dishonest,Serious2
2026-03-23 15:31:26,2026-03-23 15:34:44,0,84.69.163.63,100,197,1,2026-03-23 15:34:44,R_8D2t6AXjtut4Wpd,,,,,55.7819,-4.0029,anonymous,EN,1,5ea950e4befef302772be716,,,,,4,"I often think about how many people are actually living in a certain place, like the fact you always see different faces. ",,,,,79,78,3,100,1,100,4,41,0,100,0,3,,,,,51,,52,,,,5ea950e4befef302772be716,1,"I often think about how many people are actually living in a certain place, like the fact you always see different faces. ",FL_101|FL_98|FL_99|FL_137|FL_103,Betting|FL_78|Double-bookkeeping|Context-sensitivity|Beliefbecauseofevidence|FL_80|Considered|Prediction,Singlebookkeeping|Deepersense|FL_143|FL_150|FL_151|Reallybelieve,,
2026-03-23 15:31:07,2026-03-23 15:34:58,0,67.84.5.2,100,231,1,2026-03-23 15:34:59,R_3Ra9ulnINCmcj40,,,,,40.8312,-73.9067,anonymous,EN,1,69b79896ecadbfad822286f7,,,,,4,I think about how much years I might live,,,,,50,100,3,100,1,0,0,0,10,99,2,1,,0,100,,97,100,100,20,2,3,69b79896ecadbfad822286f7,1,I think about how much years I might live,FL_101|FL_103|FL_137|FL_98|FL_99,Beliefbecauseofevidence|Context-sensitivity|Considered|FL_78|Prediction|Betting|Double-bookkeeping|FL_80,Reallybelieve|FL_151|Deepersense|Singlebookkeeping|FL_150|FL_143,Dishonest2,Serious
2026-03-23 15:31:21,2026-03-23 15:35:00,0,65.183.146.120,100,219,1,2026-03-23 15:35:01,R_6qDSm0syRO1m6We,,,,,44.4829,-73.2253,anonymous,EN,1,69bf082164bbcf0753a45fa8,,,4,This is all planned out and I am getting what I deserve from god.,,,5,,,,50,27,3,85,1,89,71,86,96,100,23,1,,32,24,,100,78,100,23,2,2,69bf082164bbcf0753a45fa8,1,This is all planned out and I am getting what I deserve from god.,FL_103|FL_99|FL_101|FL_98|FL_137,Beliefbecauseofevidence|Prediction|Betting|FL_80|Considered|Double-bookkeeping|Context-sensitivity|FL_78,FL_151|FL_150|Singlebookkeeping|Reallybelieve|Deepersense|FL_143,Dishonest2,Serious
2026-03-23 15:30:53,2026-03-23 15:35:09,0,99.82.196.136,100,255,1,2026-03-23 15:35:09,R_3gMy2I6gP5qYkk6,,,,,37.6736,-122.0944,anonymous,EN,1,69419ffdfdfb97e0bf9cca18,,,,,4,My friend has two children,5,,,,71,100,3,100,1,100,0,0,0,0,0,1,,0,100,,79,100,100,31,2,5,69419ffdfdfb97e0bf9cca18,1,My friend has two children,FL_103|FL_101|FL_137|FL_98|FL_99,Double-bookkeeping|Prediction|Betting|FL_80|Considered|FL_78|Beliefbecauseofevidence|Context-sensitivity,Reallybelieve|Singlebookkeeping|FL_151|FL_150|FL_143|Deepersense,Dishonest2,Serious
